         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:494(__init__)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:258(__new__)
       48    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:749(load_rational)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageColor.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffTags.py:36(lookup)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:120(Blend)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      125    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:986(__and__)
        2    0.000    0.000    0.000    0.000 {built-in method setCentralWidget}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:364(__repr__)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3162(_decompression_bomb_check)
       44    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:287(tell)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/fractions.py:38(Fraction)
       13    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:447(_simple)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/BmpImagePlugin.py:51(_accept)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PaletteFile.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       60    0.000    0.000    0.000    0.000 {built-in method setFlags}
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:482(_getmp)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
        5    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:268(getuntil)
        7    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:85(opengroup)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
        8    0.000    0.000    0.000    0.000 {built-in method zlib.decompressobj}
        7    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3407(register_open)
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:672(decorator)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:756(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageSequence.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3910(__contains__)
       16    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:356(_escape)
       11    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        2    0.000    0.000    0.000    0.000 {built-in method setLayout}
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:753(combine)
       15    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3457(register_extension)
        4    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3468(register_extensions)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:303(IFDRational)
        6    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
       35    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageOps.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:569(_check_for_existing_members)
       64    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:538(size)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:317(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method setWindowTitle}
       63    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      4/3    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:485(_get_literal_prefix)
       66    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:225(__init__)
       56    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       12    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:790(_ensure_read)
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:657(__delitem__)
       22    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:702(_accept)
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:507(_getmp)
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3657(_fixup)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1366(_fixupParents)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1435(__init__)
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:219(_acquireLock)
       22    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:82(__init__)
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GifImagePlugin.py:54(_accept)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       56    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:622(<genexpr>)
       85    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:423(__getattr__)
       81    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/subprocess.py:702(Popen)
       54    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:697(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageChops.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegPresets.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       46    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/abc.py:7(abstractmethod)
       22    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:82(groups)
       21    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:337(_accept)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:584(_can_use)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:163(__init__)
       12    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       70    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/signal.py:16(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:980(__or__)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:734(load_string)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:147(Real)
       12    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       71    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/signal.py:21(<lambda>)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:198(<dictcomp>)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        3    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:433(_uniq)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PpmImagePlugin.py:45(_accept)
       28    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        7    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/fractions.py:276(_operator_fallbacks)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/BmpImagePlugin.py:62(BmpImageFile)
       26    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       14    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:169(__setitem__)
       55    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       10    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:678(__new__)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/_util.py:15(__init__)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:193(close)
       69    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImagePalette.py:196(raw)
        9    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        4    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:535(reset)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImagePalette.py:25(ImagePalette)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:662(__iter__)
       18    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:245(<genexpr>)
       37    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:559(<lambda>)
        3    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:1880(AppendingTiffWriter)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3924(__iter__)
       18    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
        8    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:619(isstring)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:466(chunk_tRNS)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:965(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 {method 'putpalette' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/subprocess.py:425(CompletedProcess)
        7    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3434(register_save)
        8    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:81(_combine_flags)
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:228(_releaseLock)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:357(PngStream)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:456(_generate_overlap_table)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:710(PngImageFile)
       24    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:528(<lambda>)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:1064(TiffImageFile)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:283(__float__)
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:76(__init__)
       30    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       26    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:388(_delegate)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:232(<lambda>)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:81(BaseSelector)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        8    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffTags.py:29(cvt_enum)
        7    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3423(register_mime)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:75(_tilesort)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       11    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:571(__contains__)
        2    0.000    0.000    0.000    0.000 {built-in method setGeometry}
        4    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:928(fix_flags)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImagePalette.py:37(__init__)
        1    0.000    0.000    0.000    0.000 {method 'getpalette' of 'ImagingCore' objects}
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        9    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/collections/__init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:346(JpegImageFile)
       11    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:375(check_text_memory)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/fractions.py:62(__new__)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:61(_SelectorMapping)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/signal.py:49(decorator)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GifImagePlugin.py:63(GifImageFile)
       22    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:342(_PollLikeSelector)
       14    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       16    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:558(__enter__)
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:459(chunk_PLTE)
        2    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.kqueue' objects}
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:516(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/subprocess.py:104(CalledProcessError)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:251(iTXt)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3445(register_save_all)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:85(ImageFile)
        7    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/_distutils_hack/__init__.py:96(<lambda>)
        2    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:272(_accept)
        6    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/types.py:176(__get__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:138(<dictcomp>)
        3    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1710(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:267(Rational)
       15    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:162(ChunkStream)
        6    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:618(<listcomp>)
        9    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:670(PyDecoder)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:291(SelectSelector)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/subprocess.py:141(TimeoutExpired)
        3    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:451(__members__)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:207(_BaseSelectorImpl)
        6    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       10    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:358(Parser)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/subprocess.py:648(_use_posix_spawn)
        2    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:434(PollSelector)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:477(_get_iscased)
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImagePalette.py:52(palette)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:193(_checkLevel)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImagePalette.py:84(getdata)
        3    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
        3    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3489(register_decoder)
        6    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BytesIO' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:719(PyEncoder)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1261(append)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PaletteFile.py:19(PaletteFile)
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/selectors.py:507(KqueueSelector)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GimpPaletteFile.py:22(GimpPaletteFile)
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:682(_register_writer)
        6    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/signal.py:48(_wraps)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PpmImagePlugin.py:148(PpmPlainDecoder)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/Image.py:3913(__setitem__)
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:671(_register_loader)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:273(PngInfo)
        5    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/TiffImagePlugin.py:683(decorator)
        4    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PpmImagePlugin.py:53(PpmImageFile)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:328(StubImageFile)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/_collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/ImageFile.py:598(PyCodec)
        2    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/logging/__init__.py:1307(disable)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/miniconda3/lib/python3.10/numbers.py:12(Number)
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/GimpGradientFile.py:66(GradientFile)
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:1077(_idat)
