         17817 function calls (17496 primitive calls) in 506.042 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.002    0.000 {built-in method builtins.__build_class__}
        8    0.000    0.000    0.002    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:396(chunk_iCCP)
        2    0.000    0.000    0.002    0.001 /Users/qz/Downloads/SDCardQuickView/SDCardQuickView.py:410(load_images)
        8    0.000    0.000    0.002    0.000 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:145(_safe_zlib_decompress)
        3    0.000    0.000    0.002    0.001 /Users/qz/miniconda3/lib/python3.10/re.py:249(compile)
        8    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       16    0.001    0.000    0.001    0.000 {built-in method setPixmap}
        4    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:944(parse)
     16/4    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:436(_parse_sub)
       22    0.001    0.000    0.001    0.000 {built-in method io.open_code}
     19/4    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/sre_parse.py:494(_parse)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 /Users/qz/miniconda3/lib/python3.10/signal.py:1(<module>)
       28    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
        3    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:536(_convert_)
       16    0.001    0.000    0.001    0.000 {built-in method io.open}
       28    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       13    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:359(__call__)
        6    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:180(__new__)
        3    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/enum.py:483(_create_)
        2    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /Users/qz/Downloads/SDCardQuickView/venv/lib/python3.10/site-packages/PIL/JpegImagePlugin.py:1(<module>)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 /Users/qz/miniconda3/lib/python3.10/selectors.py:1(<module>)
       17    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/abc.py:105(__new__)
        4    0.000    0.000    0.001    0.000 /Users/qz/miniconda3/lib/python3.10/sre_compile.py:622(_code)
        2    0.001    0.000    0.001    0.000 {built-in method setColumnCount}
       74    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x10cd4e920}
